cell,build,N,r,seed,role,prompt_tokens,prompt_len_mod_grid,tail_chunk_len,tail_step_graph_mode,prefill_chunks,corrupted,http_status,corrupted_counter_delta,prefix_hit_tokens,input_sha256,input_note,cache_salt,output_sha256
step7-unfixed_r8,unfixed,20,8,1,Bsalt,18628,676,676,NONE,8160:NONE|8160:NONE|1632:NONE|676:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-unfixed_r8,unfixed,20,8,2,A,16328,8,8,PIECEWISE,8160:NONE|8160:NONE|8:PIECEWISE,0,200,0,0,758aa33ebfbfe3089d1601229692dba1787aaf6fc767053b5d5040a7496f3482,,,
step7-unfixed_r8,unfixed,20,8,2,B,18628,676,676,NONE,1632:NONE|676:NONE,0,200,0,16320,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-unfixed_r8,unfixed,20,8,2,Bsalt,18628,676,676,NONE,8160:NONE|8160:NONE|1632:NONE|676:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-unfixed_r8n34,unfixed,34,8,0,A,27752,8,8,PIECEWISE,8160:NONE|8160:NONE|8160:NONE|3264:NONE|8:PIECEWISE,0,200,0,0,a77bb0bbac40efedebb883b2dae34836b168913f3ffb70f21eab36fdb365b7ef,,,
step7-unfixed_r8n34,unfixed,34,8,0,B,30052,676,676,NONE,1632:NONE|676:NONE,0,200,0,27744,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-unfixed_r8n34,unfixed,34,8,0,Bsalt,30052,676,676,NONE,8160:NONE|8160:NONE|8160:NONE|4896:NONE|676:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-unfixed_r8n34,unfixed,34,8,1,A,27752,8,8,PIECEWISE,8160:NONE|8160:NONE|8160:NONE|3264:NONE|8:PIECEWISE,0,200,0,0,374c5d760baff03ebbaaa5a9fe8404baca4c03760ec7409ca6ad490f7af84aee,,,
step7-unfixed_r8n34,unfixed,34,8,1,B,30052,676,676,NONE,1632:NONE|676:NONE,0,200,0,27744,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-unfixed_r8n34,unfixed,34,8,1,Bsalt,30052,676,676,NONE,8160:NONE|8160:NONE|8160:NONE|4896:NONE|676:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-unfixed_r8n34,unfixed,34,8,2,A,27752,8,8,PIECEWISE,8160:NONE|8160:NONE|8160:NONE|3264:NONE|8:PIECEWISE,0,200,0,0,24ce47c58d126ab82cbac0e7e64ca09c09310d94efab6a0d63134bd0e0b61486,,,
step7-unfixed_r8n34,unfixed,34,8,2,B,30052,676,676,NONE,1632:NONE|676:NONE,0,200,0,27744,,not frozen: B = A ids + THIS arm's reply + suffix,,
step7-unfixed_r8n34,unfixed,34,8,2,Bsalt,30052,676,676,NONE,8160:NONE|8160:NONE|8160:NONE|4896:NONE|676:NONE,0,200,0,0,,not frozen: B = A ids + THIS arm's reply + suffix,,
